gene_set_source,gene_set_id,gene_set_label,gene_set_type,gene_set_size,cell_class,within_species_meanROC,human_meanROC,marmoset_meanROC,mouse_meanROC,human_marmoset_meanROC,human_mouse_meanROC,marmoset_mouse_meanROC
HGNC,253,Calcium voltage-gated channel subunits,Ion Channel,26,GABAergic,0.830888597,0.822465817,0.795280027,0.874919947,0.699617699,0.679015417,0.629894103
HGNC,823,C2 domain containing,Other,168,Glutamatergic,0.829822842,0.859190152,0.790251858,0.840026514,0.703656529,0.572085634,0.591070449
HGNC,823,C2 domain containing,Other,168,GABAergic,0.829162818,0.853427554,0.797546072,0.836514827,0.682087678,0.581270905,0.574758646
HGNC,281,Glutamate metabotropic receptors,Signaling,8,Glutamatergic,0.828908654,0.85561711,0.833654372,0.79745448,0.74184501,0.636792649,0.614827052
HGNC,292,Ion channels by channel type,Ion Channel,218,Glutamatergic,0.827892036,0.843918611,0.775671749,0.864085747,0.706867903,0.645214978,0.6788452
HGNC,682,Pleckstrin homology domain containing,Other,206,Glutamatergic,0.827345797,0.873941941,0.80440481,0.803690641,0.651407926,0.596897771,0.548183891
HGNC,681,Phosphodiesterases,Other,24,GABAergic,0.826387721,0.817571883,0.800083067,0.861508213,0.670617673,0.547894807,0.603433705
HGNC,320,Receptor kinases,Signaling,77,Glutamatergic,0.822715259,0.858361252,0.812651643,0.79713288,0.73565738,0.641516044,0.647150612
HGNC,321,Receptor tyrosine kinases,Signaling,58,Glutamatergic,0.822425626,0.852397696,0.824241153,0.790638029,0.73379127,0.643412272,0.652970903
HGNC,736,Semaphorins,Cell Adhesion,20,Glutamatergic,0.818297318,0.870629619,0.775799456,0.808462879,0.667368391,0.619909395,0.54772702
HGNC,1220,PDZ domain containing,Other,152,Glutamatergic,0.81634011,0.845952423,0.814457749,0.788610158,0.674150936,0.583797628,0.585314548
HGNC,516,Homeoboxes,Other,344,Glutamatergic,0.816247757,0.888919134,0.773357531,0.786466605,0.733586172,0.673449029,0.679067609
HGNC,760,Sterile alpha motif domain containing,Other,88,Glutamatergic,0.813104695,0.855870063,0.813996324,0.769447697,0.705980041,0.620479419,0.572331739
HGNC,168,Amine receptors,Signaling,45,Glutamatergic,0.812501141,0.813943426,0.795733868,0.827826129,0.716295253,0.660398097,0.593455292
SynGO,GO:0099171,presynaptic modulation of chemical synaptic transmission,Signaling,42,Glutamatergic,0.810942409,0.838654284,0.813708355,0.780464589,0.710216351,0.632913226,0.625825556
HGNC,1095,EPH receptors,Signaling,14,Glutamatergic,0.809794368,0.818450681,0.801729116,0.809203307,0.726327216,0.667463523,0.573160637
HGNC,281,Glutamate metabotropic receptors,Signaling,8,GABAergic,0.809362535,0.811517513,0.818159685,0.798410408,0.672233291,0.636106527,0.69324963
HGNC,183,Potassium channels,Ion Channel,79,GABAergic,0.80898437,0.787911551,0.790211559,0.848830001,0.682630162,0.612546675,0.606261294
HGNC,1220,PDZ domain containing,Other,152,GABAergic,0.808936449,0.799612003,0.786134577,0.841062766,0.674746793,0.582669149,0.585827654
HGNC,424,Glycosyltransferases,Other,212,Glutamatergic,0.80883389,0.827412186,0.784635681,0.814453803,0.648453902,0.574894964,0.589698173
HGNC,1902,Neuropeptides,Signaling,70,GABAergic,0.808526572,0.85464459,0.68972234,0.881212784,0.699622165,0.733300527,0.528895013
HGNC,721,Rho GTPase activating proteins,Other,50,Glutamatergic,0.807914236,0.845322917,0.772318407,0.806101385,0.608113742,0.598135617,0.50136771
HGNC,168,Amine receptors,Signaling,45,GABAergic,0.807588584,0.850421033,0.748424442,0.823920278,0.695498686,0.606452692,0.660881204
SynGO,GO:0098793,presynapse,Signaling,93,Glutamatergic,0.807233073,0.825774284,0.770946105,0.82497883,0.679967433,0.527847411,0.595718328
HGNC,275,"G protein-coupled receptors, Class C metabotropic glutamate/pheromone",Signaling,19,Glutamatergic,0.806700806,0.848299936,0.793738608,0.778063873,0.699485741,0.632774228,0.596235383
HGNC,1582,Neurexins,Cell Adhesion,10,GABAergic,0.806193689,0.773381799,0.800395486,0.844803781,0.694604111,0.626640145,0.518775926
SynGO,GO:0098793,presynapse,Signaling,93,GABAergic,0.803353943,0.813441954,0.759823183,0.836796692,0.635463905,0.577639243,0.549054691
HGNC,183,Potassium channels,Ion Channel,79,Glutamatergic,0.798951602,0.813414977,0.764459258,0.81898057,0.677708166,0.61468287,0.606700663
HGNC,760,Sterile alpha motif domain containing,Other,88,GABAergic,0.79891241,0.8611616,0.790256504,0.745319127,0.648765236,0.583467476,0.634862606
SynGO,GO:0098962,regulation of postsynaptic neurotransmitter receptor activity,Signaling,17,GABAergic,0.7988026,0.77591499,0.78500232,0.835490491,0.695039953,0.64883306,0.649634953
SynGO,GO:0050807,regulation of synapse organization,Signaling,29,GABAergic,0.798423029,0.77661656,0.766852883,0.851799644,0.660111867,0.566562736,0.592452262
SynGO,GO:0098794,postsynapse,Signaling,125,GABAergic,0.798364324,0.845840114,0.732741334,0.816511524,0.687242256,0.638877244,0.567119017
HGNC,694,Protein phosphatase 1 regulatory subunits,Other,181,GABAergic,0.797413491,0.797460452,0.768906897,0.825873124,0.698743254,0.586837737,0.57856386
HGNC,424,Glycosyltransferases,Other,212,GABAergic,0.797372894,0.752664364,0.807843618,0.8316107,0.646057493,0.551091753,0.565788782
HGNC,490,Collagens,Other,46,GABAergic,0.796105413,0.842579051,0.794444369,0.751292817,0.595202516,0.484151644,0.483035783
HGNC,26,Zinc fingers,Other,1524,Glutamatergic,0.794808781,0.828518354,0.765623963,0.790284026,0.678468445,0.607378791,0.596233688
HGNC,275,"G protein-coupled receptors, Class C metabotropic glutamate/pheromone",Signaling,19,GABAergic,0.793175806,0.791006589,0.77823151,0.81028932,0.657269616,0.633188411,0.657336026
HGNC,1076,Phosphatases,Other,223,Glutamatergic,0.791375525,0.802973913,0.799756697,0.771395964,0.679447162,0.578222533,0.599107421
HGNC,705,Class I classical Cys-based phosphatases,Other,83,Glutamatergic,0.79076887,0.82292938,0.801966878,0.747410351,0.689872883,0.607406025,0.617206428
HGNC,516,Homeoboxes,Other,344,GABAergic,0.790641393,0.798451425,0.761549135,0.81192362,0.702219871,0.696813293,0.643861677
SynGO,GO:0050807,regulation of synapse organization,Signaling,29,Glutamatergic,0.789515859,0.827525383,0.76729789,0.773724303,0.701628327,0.62782126,0.611247859
SynGO,GO:0045202,synapse,Signaling,185,Glutamatergic,0.788640146,0.795794791,0.771505694,0.798619954,0.678542101,0.591054555,0.594205234
HGNC,682,Pleckstrin homology domain containing,Other,206,GABAergic,0.786926162,0.813845704,0.744076078,0.802856704,0.644449404,0.56556825,0.590648205
HGNC,681,Phosphodiesterases,Other,24,Glutamatergic,0.786383141,0.801138733,0.817723273,0.740287416,0.653896876,0.575149294,0.55114859
SynGO,GO:0099645,neurotransmitter receptor localization to postsynaptic specialization membrane,Signaling,23,GABAergic,0.785450132,0.768539458,0.783772691,0.804038246,0.690134727,0.645330873,0.613764432
HGNC,694,Protein phosphatase 1 regulatory subunits,Other,181,Glutamatergic,0.784713166,0.825773383,0.783606202,0.744759913,0.686585565,0.578220111,0.586568217
HGNC,703,Protein phosphatases,Other,136,Glutamatergic,0.783358185,0.802096641,0.787340315,0.760637597,0.672835708,0.598421576,0.593241296
HGNC,490,Collagens,Other,46,Glutamatergic,0.7825799,0.839014997,0.732958911,0.775765791,0.563821699,0.498713556,0.459918841
SynGO,GO:1904315,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,Signaling,43,Glutamatergic,0.780634876,0.815281683,0.768503678,0.758119267,0.637423575,0.595980264,0.686560223
HGNC,594,Immunoglobulin like domain containing,Other,171,Glutamatergic,0.779666261,0.835923071,0.771694887,0.731380826,0.706472854,0.64393997,0.63079776
SynGO,GO:1905606,regulation of presynapse assembly,Signaling,30,GABAergic,0.777801533,0.7676021,0.759455369,0.806347131,0.66548179,0.59865838,0.611341226
HGNC,220,Peptide receptors,Signaling,60,GABAergic,0.776074344,0.823830592,0.688999463,0.815392978,0.632621999,0.653196442,0.580365746
HGNC,274,Potassium voltage-gated channels,Ion Channel,40,Glutamatergic,0.775625487,0.797321084,0.745032499,0.784522879,0.654994736,0.581154796,0.557141148
SynGO,GO:0099170,postsynaptic modulation of chemical synaptic transmission,Signaling,23,Glutamatergic,0.775553564,0.807135328,0.737231838,0.782293526,0.62996117,0.575068952,0.627313903
HGNC,752,Solute carriers,Other,423,Glutamatergic,0.775311309,0.771284642,0.786951359,0.767697926,0.658556642,0.56008529,0.56347826
SynGO,GO:2000300,regulation of synaptic vesicle exocytosis,Signaling,32,GABAergic,0.773723171,0.777614049,0.737253761,0.806301702,0.66751585,0.661914626,0.560516032
HGNC,705,Class I classical Cys-based phosphatases,Other,83,GABAergic,0.770481247,0.713769484,0.771081798,0.826592459,0.64361543,0.5742673,0.63085503
HGNC,721,Rho GTPase activating proteins,Other,50,GABAergic,0.769013095,0.830912591,0.772801244,0.703325451,0.657281823,0.511451926,0.599673788
HGNC,1076,Phosphatases,Other,223,GABAergic,0.76895234,0.719074729,0.756015471,0.83176682,0.619531435,0.561798144,0.609353322
HGNC,703,Protein phosphatases,Other,136,GABAergic,0.768012204,0.720765559,0.753641692,0.829629362,0.616805881,0.553561965,0.627008422
SynGO,GO:0099170,postsynaptic modulation of chemical synaptic transmission,Signaling,23,GABAergic,0.766689826,0.773036329,0.71863255,0.808400599,0.653482864,0.644597947,0.63190175
SynGO,GO:0045202,synapse,Signaling,185,GABAergic,0.766440657,0.763176593,0.744025793,0.792119586,0.640030949,0.600651821,0.607591227
SynGO,GO:1905606,regulation of presynapse assembly,Signaling,30,Glutamatergic,0.765941811,0.774624221,0.757314344,0.765886868,0.678553904,0.616790902,0.619449296
HGNC,720,Regulators of G-protein signaling,Signaling,21,GABAergic,0.765655608,0.75134641,0.733239274,0.812381141,0.652879892,0.645375126,0.560514922
HGNC,858,Potassium voltage-gated channel regulatory subunits,Ion Channel,15,Glutamatergic,0.764434651,0.780061687,0.737508315,0.775733951,0.692760206,0.631915788,0.611891477
SynGO,GO:0098696,regulation of neurotransmitter receptor localization to postsynaptic specialization membrane,Signaling,18,GABAergic,0.764161577,0.759771696,0.750247989,0.782465047,0.664408416,0.58688311,0.693580268
SynGO,GO:0098696,regulation of neurotransmitter receptor localization to postsynaptic specialization membrane,Signaling,18,Glutamatergic,0.762224394,0.755350844,0.711645954,0.819676384,0.630832031,0.665803653,0.58136357
HGNC,858,Potassium voltage-gated channel regulatory subunits,Ion Channel,15,GABAergic,0.762067187,0.774303737,0.746723206,0.76517462,0.676637816,0.599520656,0.617736082
HGNC,763,"Sulfotransferases, membrane bound",Other,37,GABAergic,0.761405319,0.763968455,0.729440135,0.790807366,0.665590753,0.524012385,0.745073
HGNC,821,Sulfotransferases,Other,51,GABAergic,0.760805749,0.763683773,0.727242404,0.791491069,0.664929763,0.528476413,0.73864614
SynGO,GO:0098831,presynaptic active zone cytoplasmic component,Signaling,18,Glutamatergic,0.760787559,0.813130928,0.753698706,0.715533042,0.700923516,0.574967552,0.608490341
HGNC,722,Dbl family Rho GEFs,Other,73,Glutamatergic,0.760664104,0.794144244,0.738952021,0.748896048,0.592603262,0.576780275,0.511963238
HGNC,1958,Rho guanine nucleotide exchange factors,Other,84,Glutamatergic,0.760642139,0.796410992,0.744202662,0.741312763,0.597403237,0.566779545,0.525512484
SynGO,GO:0016082,synaptic vesicle priming,Signaling,11,Glutamatergic,0.758778062,0.80364293,0.750395516,0.722295739,0.669568903,0.577747217,0.578616784
SynGO,GO:0098962,regulation of postsynaptic neurotransmitter receptor activity,Signaling,17,Glutamatergic,0.758429289,0.756865553,0.748160783,0.770261529,0.605276522,0.603775607,0.699963057
HGNC,274,Potassium voltage-gated channels,Ion Channel,40,GABAergic,0.758268791,0.745650145,0.709991869,0.819164359,0.610811776,0.548529581,0.574250316
HGNC,1582,Neurexins,Cell Adhesion,10,Glutamatergic,0.757651103,0.817979305,0.734654105,0.720319898,0.608836183,0.544788112,0.669823269
HGNC,182,Calcium channels,Ion Channel,41,Glutamatergic,0.75693698,0.749791256,0.700442113,0.820577571,0.650080014,0.634397705,0.679956204
HGNC,1958,Rho guanine nucleotide exchange factors,Other,84,GABAergic,0.756693596,0.811734415,0.697997815,0.760348557,0.607842234,0.535660936,0.589386331
SynGO,GO:0099060,integral component of postsynaptic specialization membrane,Signaling,40,GABAergic,0.756630809,0.725109293,0.717102218,0.827680917,0.65007104,0.595926912,0.520471796
HGNC,1909,Contactins,Cell Adhesion,6,Glutamatergic,0.755749583,0.822905684,0.72979219,0.714550875,0.643828433,0.540463167,0.560884938
SynGO,GO:0030285,integral component of synaptic vesicle membrane,Signaling,44,GABAergic,0.755035781,0.773422424,0.72958815,0.76209677,0.67867576,0.661598046,0.636889999
HGNC,594,Immunoglobulin like domain containing,Other,171,GABAergic,0.754988807,0.756949787,0.7222931,0.785723534,0.635453359,0.606122041,0.622911017
HGNC,1052,IgLON cell adhesion molecules,Cell Adhesion,5,GABAergic,0.754402484,0.752062864,0.764339872,0.746804717,0.667720431,0.480705637,0.61187773
HGNC,26,Zinc fingers,Other,1524,GABAergic,0.75178146,0.73866396,0.725790267,0.790890153,0.650302536,0.618094047,0.620445304
SynGO,GO:0099026,anchored component of presynaptic membrane,Signaling,8,Glutamatergic,0.751258708,0.821595231,0.710577059,0.721603833,0.670992039,0.533850188,0.54844072
HGNC,1052,IgLON cell adhesion molecules,Cell Adhesion,5,Glutamatergic,0.751213125,0.754800124,0.728821849,0.770017404,0.61180142,0.588927727,0.558487908
HGNC,471,CD molecules,Other,394,GABAergic,0.750449203,0.776305656,0.741695762,0.733346193,0.649379915,0.575762069,0.543851051
HGNC,526,TALE class homeoboxes and pseudogenes,Other,27,Glutamatergic,0.749367466,0.808562858,0.72788391,0.71165563,0.698592827,0.578988962,0.593765973
SynGO,GO:0098794,postsynapse,Signaling,125,Glutamatergic,0.74793798,0.761877721,0.708695149,0.773241069,0.622657494,0.58174414,0.60975237
HGNC,590,V-set domain containing,Cell Adhesion,163,Glutamatergic,0.746179044,0.771901458,0.737462624,0.72917305,0.665271201,0.564038921,0.584772932
HGNC,249,Transient receptor potential cation channels,Ion Channel,28,GABAergic,0.74553991,0.747734311,0.693445056,0.795440363,0.598907053,0.583096745,0.604173134
HGNC,736,Semaphorins,Cell Adhesion,20,GABAergic,0.743804765,0.732495612,0.672629027,0.826289658,0.598140578,0.554013062,0.593371356
HGNC,24,Cadherin related,Cell Adhesion,17,GABAergic,0.743377217,0.799744678,0.714313033,0.716073938,0.592589912,0.50658236,0.489528382
HGNC,71,Nuclear hormone receptors,Signaling,49,Glutamatergic,0.742704989,0.737231886,0.751415859,0.739467222,0.644827778,0.586194923,0.554688797
SynGO,GO:0099645,neurotransmitter receptor localization to postsynaptic specialization membrane,Signaling,23,Glutamatergic,0.742509538,0.770752683,0.669559441,0.78721649,0.61067292,0.615001836,0.660438442
HGNC,590,V-set domain containing,Cell Adhesion,163,GABAergic,0.742107728,0.771393438,0.730185419,0.724744326,0.67269305,0.612473739,0.57206616
HGNC,562,Gamma-aminobutyric acid (GABA) receptors,Signaling,21,GABAergic,0.739989039,0.759357168,0.659158774,0.801451176,0.632042115,0.581486426,0.526460481
HGNC,21,Non-clustered protocadherins,Cell Adhesion,12,GABAergic,0.739471875,0.777120077,0.700614493,0.740681056,0.643944549,0.564240751,0.593226848
HGNC,19,Protocadherins,Cell Adhesion,76,GABAergic,0.739471875,0.777120077,0.700614493,0.740681056,0.643944549,0.564240751,0.593226848
HGNC,433,Polypeptide N-acetylgalactosaminyltransferases,Other,20,Glutamatergic,0.739321824,0.753831689,0.68804463,0.776089153,0.622574518,0.521470652,0.551804788
SynGO,GO:0098831,presynaptic active zone cytoplasmic component,Signaling,18,GABAergic,0.739249087,0.77142959,0.706984444,0.739333228,0.668986636,0.618050372,0.596494664
HGNC,28,Zinc fingers C2H2-type,Other,720,Glutamatergic,0.739133684,0.761271535,0.712277113,0.743852404,0.632823474,0.611648926,0.604136729
SynGO,GO:2000300,regulation of synaptic vesicle exocytosis,Signaling,32,Glutamatergic,0.738985076,0.758298033,0.708739439,0.749917755,0.607229912,0.53008432,0.615406379
HGNC,527,CUT class homeoboxes and pseudogenes,Other,9,Glutamatergic,0.737827502,0.742707863,0.761375305,0.709399339,0.710551521,0.685042495,0.582782955
HGNC,529,ZF class homeoboxes and pseudogenes,Other,15,Glutamatergic,0.737147818,0.79496891,0.653795388,0.762679156,0.606602582,0.604565606,0.52429909
HGNC,1095,EPH receptors,Signaling,14,GABAergic,0.736971575,0.730960966,0.76206793,0.717885828,0.583707399,0.541789816,0.670860762
HGNC,253,Calcium voltage-gated channel subunits,Ion Channel,26,Glutamatergic,0.73601018,0.712398081,0.693861352,0.801771108,0.625928738,0.596177693,0.692807311
HGNC,1201,Glutamate ionotropic receptor NMDA type subunits,Signaling,7,GABAergic,0.734150629,0.72225372,0.670200697,0.809997471,0.616900158,0.569412345,0.517763548
HGNC,438,Sialyltransferases,Cell Adhesion,20,Glutamatergic,0.734121607,0.78533053,0.706667073,0.710367217,0.617334388,0.562068266,0.568453017
HGNC,563,Gamma-aminobutyric acid type A receptor subunits,Signaling,19,GABAergic,0.733166502,0.752847102,0.659870312,0.786782093,0.62907667,0.585511792,0.527160642
HGNC,1630,Calmodulin dependent protein kinases,Other,11,Glutamatergic,0.733050486,0.803159442,0.706040442,0.689951573,0.663005028,0.536191547,0.553642405
SynGO,GO:0099508,voltage-gated ion channel activity involved in regulation of presynaptic membrane potential,Signaling,16,Glutamatergic,0.732968211,0.783934742,0.674530287,0.740439603,0.599122388,0.594477616,0.541995937
